case,solver,num_snapshots,mean_mse_all_fields,mean_mse_rho,mean_mse_rhou,mean_mse_rhov,mean_mse_E
shock_bubble,hll,5,1.2129785006107074e-27,0.0,2.670300423116163e-27,2.1816135793266677e-27,0.0
shock_bubble,hllc,5,1.0871693901696733e-26,0.0,4.162142095916455e-26,1.865354647622384e-27,0.0
shock_bubble,exact,5,5.07716371301426e-21,0.0,4.063342282490299e-24,2.030459150977454e-20,0.0
shock_bubble,force,5,1.0208642265163676e-24,0.0,4.061695891415685e-24,2.1761014649783625e-26,0.0
blast_wave,hll,5,6.636813544560589e-33,0.0,2.48663752363938e-32,1.6808789418485573e-33,0.0
blast_wave,hllc,5,6.9070860504144265e-34,0.0,7.435758108612728e-34,2.0192586093044985e-33,0.0
blast_wave,exact,5,5.9777128956035065e-34,0.0,4.035919189778824e-34,1.98749323926352e-33,0.0
blast_wave,force,5,4.295626384596744e-34,0.0,3.742862949646391e-34,1.3439642588740589e-33,0.0
